"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","ENG","Name_en","X","ID"
"3921",3,17,1,1,1,5,"US",3,4,4,4,4,4,3,4,4,3,3,3,1,2,3,4,2,3,3,4,5,4,4,5,5,5,4,4,5,3,4,5,4,4,3,4,4,4,4,3,4,4,5,4,4,5,4,5,4,5,"ENG","United States of America",3921,"3921"
"3922",3,17,1,1,1,5,"US",5,2,5,4,5,4,3,3,5,1,1,5,1,3,5,5,5,5,1,3,5,5,5,5,5,1,3,5,5,5,5,5,5,5,3,1,5,5,2,5,4,5,4,5,4,5,5,4,5,5,"ENG","United States of America",3922,"3922"
"3923",3,14,1,1,1,5,"US",2,2,1,2,2,5,1,1,2,1,3,4,4,4,4,4,4,5,3,4,2,5,4,3,2,3,2,3,4,2,2,1,3,5,1,1,2,4,2,2,5,5,5,5,5,5,5,5,5,5,"ENG","United States of America",3923,"3923"
"3924",3,23,1,1,1,2,"US",3,2,4,2,2,3,4,1,2,2,3,4,3,4,4,4,4,4,4,5,4,4,5,4,2,4,4,2,3,4,4,5,4,5,5,5,5,5,5,4,2,5,3,5,4,2,4,2,5,3,"ENG","United States of America",3924,"3924"
"3925",1,39,1,1,1,1,"US",4,4,5,4,5,4,4,4,4,5,4,4,3,4,4,5,4,5,5,5,5,5,5,4,4,2,2,4,4,4,5,4,5,5,5,5,4,3,5,4,3,4,4,4,4,4,4,3,3,4,"ENG","United States of America",3925,"3925"
"3926",3,45,1,1,1,2,"CA",3,4,4,4,4,4,4,2,3,2,3,3,3,4,3,4,4,4,2,4,4,3,4,3,4,3,2,2,2,3,4,2,3,4,2,2,4,4,3,3,4,4,4,4,4,4,4,2,4,4,"ENG","Canada",3926,"3926"
"3927",3,16,1,2,1,5,"US",2,4,3,3,3,4,1,3,3,2,1,1,1,1,1,1,1,1,1,1,4,3,4,3,4,3,3,2,3,2,5,1,3,1,2,1,5,3,5,2,5,4,4,4,4,4,4,5,4,4,"ENG","United States of America",3927,"3927"
"3928",3,15,1,1,1,5,"CA",1,1,2,2,3,2,1,1,2,1,1,2,1,1,1,3,4,3,3,2,4,3,4,5,4,5,3,4,4,3,3,4,3,1,2,3,4,3,1,2,4,4,3,3,4,3,2,4,5,4,"ENG","Canada",3928,"3928"
"3929",3,21,1,2,1,1,"US",1,1,2,1,2,3,1,1,1,1,3,3,2,2,4,4,5,5,3,3,5,4,5,5,5,5,4,4,4,3,3,5,5,3,2,3,5,3,4,3,3,5,4,5,3,4,5,3,3,3,"ENG","United States of America",3929,"3929"
"3930",11,14,1,1,1,5,"CA",1,1,3,1,4,1,3,1,2,3,1,3,1,1,1,2,1,3,1,1,5,4,1,5,5,5,3,4,4,3,4,5,3,5,1,5,5,3,5,4,3,2,4,5,3,3,2,3,2,3,"ENG","Canada",3930,"3930"
"3931",11,18,1,2,1,1,"AU",2,4,3,1,3,3,2,1,1,3,4,4,2,3,3,4,4,5,4,4,5,4,1,5,5,4,4,4,4,4,3,1,4,2,2,2,4,3,3,4,3,2,4,3,2,4,4,3,4,3,"ENG","Australia",3931,"3931"
"3932",3,27,1,1,1,5,"US",1,2,2,3,2,2,2,1,1,2,2,2,2,1,4,2,4,3,2,3,4,3,5,4,3,4,3,4,4,2,3,2,4,3,2,4,3,4,3,3,4,4,3,5,3,4,4,4,4,4,"ENG","United States of America",3932,"3932"
"3933",3,14,1,1,3,5,"US",1,4,3,1,3,2,2,1,1,2,2,3,1,1,3,3,2,2,3,2,4,4,4,5,3,5,4,4,3,4,4,5,5,4,5,5,4,3,3,4,5,4,5,4,4,4,4,5,2,4,"ENG","United States of America",3933,"3933"
"3934",9,13,1,1,2,5,"US",4,4,5,4,4,4,4,4,4,2,3,2,1,2,3,2,2,3,3,2,5,5,2,4,5,4,5,5,5,3,4,3,4,2,2,4,3,2,4,4,2,2,3,5,3,4,3,2,5,3,"ENG","United States of America",3934,"3934"
"3935",3,14,1,1,1,5,"US",3,2,5,2,5,2,5,5,5,3,2,4,1,3,4,5,5,5,3,4,4,5,2,4,5,5,5,4,5,2,4,2,5,3,3,2,5,3,4,4,5,5,5,4,4,5,4,5,5,3,"ENG","United States of America",3935,"3935"
"3936",3,14,1,2,1,5,"US",2,4,4,3,5,4,4,3,3,2,1,3,1,1,4,1,2,1,2,2,5,5,1,4,4,5,5,4,5,4,2,2,5,2,1,1,2,2,3,3,5,5,5,5,3,5,4,5,4,5,"ENG","United States of America",3936,"3936"
"3937",3,14,1,1,1,5,"US",3,3,2,1,2,5,3,2,5,2,1,4,1,1,3,3,1,1,2,1,4,4,3,5,3,4,5,4,5,3,2,4,4,3,1,3,4,2,2,3,5,5,5,5,4,4,4,5,5,4,"ENG","United States of America",3937,"3937"
"3938",13,17,1,1,1,3,"US",3,3,5,4,3,3,4,4,4,3,1,5,2,5,1,3,4,5,1,5,3,5,5,4,4,4,4,3,3,5,5,1,4,2,2,1,5,5,2,4,3,4,4,4,5,3,3,1,5,3,"ENG","United States of America",3938,"3938"
"3939",3,17,1,2,1,1,"US",1,3,1,3,2,3,1,3,2,1,1,2,1,2,4,2,2,3,2,3,3,4,4,2,4,3,4,3,1,3,3,4,4,2,2,4,4,3,2,4,4,4,2,5,2,2,4,4,4,2,"ENG","United States of America",3939,"3939"
"3940",3,20,1,2,1,2,"US",1,3,2,1,2,2,1,1,1,1,1,2,1,3,4,4,3,5,3,3,5,3,4,5,3,5,3,4,5,2,4,5,4,4,3,5,5,5,5,4,3,3,2,3,1,1,2,1,4,1,"ENG","United States of America",3940,"3940"
"3941",5,17,1,1,2,5,"US",3,4,4,2,4,4,4,4,5,4,1,4,2,2,2,2,1,1,2,2,2,4,4,4,3,4,4,5,5,2,2,4,4,4,2,4,2,4,2,4,5,4,5,5,5,5,2,4,5,5,"ENG","United States of America",3941,"3941"
"3942",4,17,1,1,1,1,"US",2,3,2,2,3,2,1,2,4,1,2,2,1,2,4,2,2,3,1,2,5,5,2,5,5,4,5,4,5,3,3,2,3,3,4,2,4,3,5,3,3,5,3,5,4,3,4,4,5,3,"ENG","United States of America",3942,"3942"
"3943",3,17,1,2,1,1,"AU",2,5,4,1,4,2,4,1,1,2,1,2,1,4,2,1,2,2,2,2,4,5,2,4,3,4,4,4,4,3,2,1,1,1,1,1,2,5,2,2,5,2,2,2,1,1,4,5,5,2,"ENG","Australia",3943,"3943"
"3944",5,21,2,1,1,1,"CA",3,2,4,3,4,2,3,5,2,2,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,5,3,3,2,4,4,4,3,3,4,4,3,5,4,4,3,4,3,3,"ENG","Canada",3944,"3944"
"3945",3,18,1,1,1,5,"US",4,3,5,4,1,3,5,2,4,2,4,5,4,2,4,5,4,5,5,3,2,5,2,5,5,5,5,3,4,2,3,1,5,1,1,2,5,2,2,3,4,5,5,5,3,5,5,3,5,5,"ENG","United States of America",3945,"3945"
"3946",3,38,1,2,1,1,"US",4,4,1,5,5,5,4,4,5,4,2,4,1,2,2,2,2,4,2,4,5,5,5,5,5,5,5,5,5,5,4,2,5,2,3,2,5,5,4,4,5,5,5,5,4,5,5,5,4,5,"ENG","United States of America",3946,"3946"
"3947",3,16,1,2,1,1,"AU",3,4,4,2,3,4,3,2,2,2,1,2,1,2,2,2,2,2,2,2,4,4,2,3,4,3,4,3,2,3,1,3,4,2,2,1,3,2,2,2,2,4,4,3,3,2,3,4,4,3,"ENG","Australia",3947,"3947"
"3948",3,16,1,1,1,5,"US",3,5,5,4,4,4,2,4,4,2,4,4,2,3,5,4,1,1,1,2,1,5,1,2,3,1,4,4,4,5,2,1,3,2,1,1,2,1,1,2,4,4,4,4,5,5,5,5,5,5,"ENG","United States of America",3948,"3948"
"3949",3,51,1,2,1,1,"US",4,5,3,4,4,4,3,4,3,4,3,3,2,2,4,4,4,5,4,5,5,5,4,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,4,3,4,2,4,4,5,4,1,5,4,"ENG","United States of America",3949,"3949"
"3950",5,17,2,2,1,1,"CA",2,3,3,2,5,4,5,2,3,2,3,2,3,3,1,3,3,3,3,4,4,4,4,4,3,2,4,3,4,3,3,4,2,3,3,4,5,5,3,5,2,3,4,3,3,5,3,2,4,3,"ENG","Canada",3950,"3950"
"3951",3,16,1,1,1,5,"US",1,1,2,2,1,2,1,2,2,1,5,4,4,4,4,4,4,4,4,4,3,2,4,3,2,3,2,2,3,3,2,2,3,3,2,3,4,2,4,4,4,5,4,4,4,4,4,4,4,4,"ENG","United States of America",3951,"3951"
"3952",13,61,1,2,1,5,"US",1,1,4,2,5,2,5,1,1,1,5,5,5,4,5,5,5,5,5,5,1,4,5,5,1,5,1,5,4,5,5,5,5,5,5,5,5,4,5,3,1,2,2,2,3,3,4,1,1,3,"ENG","United States of America",3952,"3952"
"3953",3,21,1,2,1,1,"US",1,2,2,1,1,4,1,2,1,1,1,1,1,2,4,3,4,4,4,3,5,5,5,4,5,5,5,1,4,2,5,5,5,3,5,5,5,5,5,5,4,5,5,4,2,5,3,3,4,2,"ENG","United States of America",3953,"3953"
"3954",10,16,1,1,1,5,"US",3,4,5,4,5,5,4,4,5,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,3,4,4,5,3,3,1,3,3,3,3,2,3,3,4,5,5,4,5,5,5,4,5,4,5,"ENG","United States of America",3954,"3954"
"3955",3,32,1,2,1,2,"US",4,4,5,5,5,5,5,3,5,4,3,3,2,2,5,4,4,5,5,3,5,5,4,5,5,5,5,5,5,5,4,2,5,4,3,2,5,5,4,4,4,5,5,5,5,5,5,3,5,5,"ENG","United States of America",3955,"3955"
"3956",3,17,1,1,2,5,"CA",2,2,4,4,3,3,4,3,3,2,3,2,2,1,3,3,2,1,2,2,3,3,2,4,4,1,5,4,3,3,2,1,5,2,2,1,4,3,2,3,5,2,3,4,4,4,4,4,5,4,"ENG","Canada",3956,"3956"
"3957",5,16,1,2,1,1,"US",4,5,5,3,4,5,2,4,5,5,2,2,2,3,2,2,2,4,4,2,5,5,4,5,4,5,4,5,5,4,4,3,5,2,1,4,3,4,4,4,3,5,4,5,5,5,5,3,4,5,"ENG","United States of America",3957,"3957"
"3958",3,16,1,1,1,5,"US",3,4,3,3,2,4,2,1,3,2,4,4,3,1,1,5,4,2,3,2,2,5,1,1,5,3,5,4,2,2,2,1,2,3,1,5,1,2,2,5,3,5,2,5,4,5,5,5,5,3,"ENG","United States of America",3958,"3958"
"3959",3,16,1,1,1,5,"US",1,2,3,1,2,2,4,1,1,1,1,3,1,2,2,4,4,5,2,3,4,4,3,4,4,4,3,4,3,3,4,4,4,2,1,4,5,4,4,3,4,3,2,3,2,2,3,5,5,2,"ENG","United States of America",3959,"3959"
"3960",3,15,1,1,1,5,"US",1,5,4,5,5,5,1,5,5,5,2,3,1,3,1,4,1,3,2,5,4,4,3,4,4,3,3,4,3,3,1,1,3,1,1,1,1,1,1,3,3,3,3,3,3,4,3,3,1,4,"ENG","United States of America",3960,"3960"
"3961",13,20,1,2,1,1,"US",1,1,3,1,3,2,2,1,1,1,3,4,3,1,2,2,3,5,3,4,1,5,5,5,5,5,5,5,5,3,5,5,5,4,3,5,5,5,3,4,4,3,3,5,2,4,4,3,3,2,"ENG","United States of America",3961,"3961"
"3962",13,17,1,1,1,5,"US",3,1,5,2,1,1,5,1,5,3,5,5,1,1,5,4,3,5,5,5,4,5,5,5,5,3,5,5,5,4,2,5,5,1,5,2,4,5,3,5,5,5,3,5,5,5,5,5,5,5,"ENG","United States of America",3962,"3962"
"3963",5,13,1,2,1,1,"US",2,2,2,2,2,2,2,2,3,1,3,2,2,4,1,2,3,3,2,1,2,2,2,3,4,3,3,2,3,3,2,1,3,2,1,2,4,3,3,3,3,3,2,3,4,5,2,3,4,5,"ENG","United States of America",3963,"3963"
"3964",3,15,1,1,1,5,"US",2,3,3,1,3,1,3,2,4,4,2,4,1,1,2,2,4,5,3,1,5,5,3,4,4,5,5,5,5,4,4,1,5,1,2,2,2,3,3,4,4,5,5,5,4,5,4,4,5,5,"ENG","United States of America",3964,"3964"
"3965",3,14,1,1,1,5,"US",2,4,5,4,4,5,5,2,4,2,4,4,1,3,4,2,4,4,2,4,3,4,4,4,4,4,5,4,4,5,4,1,4,3,3,4,5,4,4,5,4,4,4,5,4,5,4,3,4,4,"ENG","United States of America",3965,"3965"
"3966",3,18,1,1,1,1,"US",4,5,4,3,5,4,2,4,5,3,2,3,1,1,5,2,4,5,2,1,5,4,2,4,4,3,4,3,5,3,4,2,4,4,1,3,4,4,3,3,5,5,5,5,4,5,5,5,5,5,"ENG","United States of America",3966,"3966"
"3967",3,48,1,2,1,1,"US",1,1,1,1,3,3,1,1,1,1,1,5,1,1,3,2,5,5,3,1,5,5,5,5,5,5,5,5,5,3,5,4,5,1,5,5,5,5,5,4,5,1,5,1,3,5,5,3,5,5,"ENG","United States of America",3967,"3967"
"3968",3,14,1,1,1,5,"US",3,2,3,3,2,4,3,1,1,1,3,4,4,2,3,4,3,4,3,4,5,4,3,4,4,3,4,3,2,2,4,3,4,4,3,4,4,3,3,3,5,4,3,4,3,5,4,3,3,3,"ENG","United States of America",3968,"3968"
"3969",6,45,1,2,1,1,"US",1,2,2,1,3,4,1,5,1,5,1,2,1,1,2,2,1,1,1,1,5,4,5,5,5,5,5,5,5,1,3,3,3,1,3,2,4,5,4,4,4,1,5,3,4,5,3,3,5,5,"ENG","United States of America",3969,"3969"
"3970",13,13,1,2,1,1,"US",2,5,4,2,4,5,2,1,2,1,3,5,4,1,4,4,4,4,4,5,5,5,5,3,4,4,4,4,5,5,1,4,4,5,2,4,5,4,4,4,1,2,4,5,5,5,3,3,2,4,"ENG","United States of America",3970,"3970"
"3971",3,14,1,1,1,5,"US",3,4,4,5,4,5,4,4,5,4,4,5,3,4,3,3,4,5,3,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,3,2,4,5,5,4,5,4,5,5,4,3,4,"ENG","United States of America",3971,"3971"
"3972",3,17,1,1,1,5,"US",3,3,3,3,2,3,3,1,2,2,4,4,4,2,3,4,3,5,2,3,4,3,4,5,4,4,4,4,4,4,3,4,4,3,3,5,4,4,2,4,5,4,4,4,4,5,5,4,5,4,"ENG","United States of America",3972,"3972"
"3973",9,26,2,1,1,2,"US",4,4,5,3,5,5,5,4,4,3,5,5,5,1,3,5,5,5,4,5,2,4,5,2,3,3,4,2,2,4,4,5,5,5,3,5,1,4,4,4,3,4,4,3,5,5,4,3,2,5,"ENG","United States of America",3973,"3973"
"3974",3,16,1,1,1,1,"US",4,5,5,4,5,5,5,4,4,3,3,4,1,4,2,4,1,3,2,4,5,5,4,5,5,5,5,3,5,4,3,2,4,3,3,5,4,4,5,4,5,3,5,5,3,5,3,3,5,5,"ENG","United States of America",3974,"3974"
"3975",3,21,1,2,1,2,"US",1,2,2,2,1,2,1,2,1,1,3,3,2,4,4,4,5,5,2,5,2,2,2,2,2,2,1,2,1,1,4,2,4,4,2,2,5,5,4,4,5,4,5,3,4,5,5,5,3,5,"ENG","United States of America",3975,"3975"
"3976",3,15,1,1,1,5,"US",2,1,5,3,1,2,2,1,4,1,4,4,2,2,4,4,2,4,3,4,5,5,4,4,3,4,5,4,4,3,3,4,4,4,1,3,3,3,3,3,4,5,5,3,5,5,5,3,3,4,"ENG","United States of America",3976,"3976"
"3977",11,21,2,2,1,2,"US",3,3,3,3,4,5,3,3,4,1,2,3,2,3,2,3,3,3,3,3,4,4,4,5,4,5,4,4,4,3,2,2,4,2,3,2,4,5,3,3,4,5,5,5,3,2,3,2,5,4,"ENG","United States of America",3977,"3977"
"3978",3,16,1,1,1,5,"CA",1,1,1,1,1,4,1,1,1,1,4,3,2,1,4,4,2,4,4,2,5,4,5,5,5,2,5,4,4,2,3,5,5,3,2,5,4,2,3,4,3,3,4,5,3,4,4,3,5,5,"ENG","Canada",3978,"3978"
"3979",3,16,1,2,2,1,"US",1,4,4,4,3,4,1,3,4,1,1,2,1,1,2,2,1,1,2,1,5,4,5,5,5,5,5,5,5,3,3,4,5,3,1,4,4,3,3,5,3,3,4,3,2,4,3,1,4,3,"ENG","United States of America",3979,"3979"
"3980",13,13,1,1,1,5,"US",2,1,3,1,1,2,3,1,3,1,1,3,1,5,3,4,1,1,1,1,4,3,2,3,3,3,2,1,3,3,5,4,3,4,3,5,3,4,4,5,4,3,5,3,3,4,4,3,5,5,"ENG","United States of America",3980,"3980"
"3981",1,17,1,2,1,1,"US",2,5,1,5,4,5,1,4,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,5,1,4,1,3,5,4,1,1,2,1,1,1,5,1,1,5,1,1,4,1,2,4,1,3,5,3,"ENG","United States of America",3981,"3981"
"3982",1,17,1,1,1,5,"US",1,2,3,2,2,2,2,2,2,2,3,4,3,4,3,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,3,2,3,2,2,2,3,3,3,3,4,3,4,3,4,4,4,3,4,4,"ENG","United States of America",3982,"3982"
"3983",1,25,1,2,1,2,"US",4,5,5,5,5,5,5,5,5,4,4,4,2,2,4,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,2,3,5,5,4,5,4,3,5,5,"ENG","United States of America",3983,"3983"
"3984",3,18,1,1,1,5,"US",2,4,4,2,2,4,2,2,3,2,3,5,2,3,5,3,3,4,3,5,3,3,2,2,3,4,3,4,2,3,5,5,5,4,3,4,5,4,4,4,5,5,5,4,5,5,5,5,5,5,"ENG","United States of America",3984,"3984"
"3985",3,14,1,1,1,5,"US",1,1,3,2,2,4,1,1,1,1,1,2,1,2,3,1,3,3,1,3,5,4,5,4,5,4,5,4,4,5,3,2,5,5,1,5,4,5,5,4,5,2,4,4,4,5,5,5,5,4,"ENG","United States of America",3985,"3985"
"3986",3,15,1,2,1,5,"US",2,1,3,1,2,3,1,1,3,1,3,4,2,2,4,4,2,3,3,2,3,2,3,3,4,3,2,4,3,2,4,4,4,4,1,3,4,3,3,4,4,5,4,5,4,4,5,3,5,4,"ENG","United States of America",3986,"3986"
"3987",12,18,1,1,1,1,"GB",1,2,3,1,2,2,2,2,2,2,3,2,2,1,2,4,2,2,2,2,4,4,4,3,3,5,3,4,3,3,3,4,4,3,2,3,4,3,2,3,4,4,4,3,4,4,4,3,4,4,"ENG","United Kingdom of Great Britain and Northern Ireland",3987,"3987"
"3988",4,17,1,1,1,5,"US",5,5,4,5,5,4,5,5,5,4,2,4,3,4,2,3,3,3,2,4,5,5,2,5,5,4,5,4,5,3,4,1,3,3,2,1,3,2,4,3,3,3,3,4,3,4,4,3,5,4,"ENG","United States of America",3988,"3988"
"3989",13,43,2,1,1,1,"AU",5,1,3,1,5,3,5,5,5,3,3,5,1,5,5,5,5,5,5,1,3,3,1,4,3,5,5,5,5,5,3,1,5,3,1,5,5,5,5,4,5,2,3,5,4,5,4,5,5,4,"ENG","Australia",3989,"3989"
"3990",3,19,1,2,2,1,"AU",2,2,2,2,2,4,2,2,4,1,2,4,1,2,2,3,2,2,3,2,3,3,4,2,3,3,3,3,2,2,4,1,3,2,2,2,3,3,2,3,4,4,4,4,3,4,4,4,5,3,"ENG","Australia",3990,"3990"
"3991",3,31,1,2,1,1,"US",3,2,3,2,4,5,2,3,3,2,2,3,1,1,2,1,2,2,2,1,5,5,5,5,5,5,5,4,5,5,1,3,2,1,1,1,3,4,4,5,5,5,5,5,5,5,4,4,5,5,"ENG","United States of America",3991,"3991"
"3992",3,17,1,2,1,1,"AU",1,3,2,2,2,3,1,1,2,1,1,2,1,2,3,1,2,2,4,2,5,3,5,5,5,5,4,5,5,3,1,4,4,3,1,3,2,2,1,2,5,3,5,4,5,5,3,5,5,5,"ENG","Australia",3992,"3992"
"3993",3,17,1,1,1,5,"US",2,2,4,2,2,2,2,1,2,1,2,2,1,4,4,3,2,3,2,2,4,4,4,4,4,4,4,3,2,3,2,4,4,1,3,5,4,4,4,2,1,3,4,4,2,4,3,2,3,3,"ENG","United States of America",3993,"3993"
"3994",3,17,1,1,1,5,"US",3,4,4,4,4,4,5,2,3,3,4,3,1,4,4,2,3,4,1,5,2,4,1,2,3,4,4,1,2,2,2,3,5,3,2,3,4,4,4,5,4,2,3,2,5,3,5,4,5,5,"ENG","United States of America",3994,"3994"
"3995",13,17,1,2,1,5,"US",3,4,2,2,4,5,4,2,2,2,2,1,1,2,3,2,3,3,1,2,5,4,4,5,5,4,5,5,5,5,1,2,2,1,1,1,1,5,2,4,4,5,5,5,5,5,5,4,5,5,"ENG","United States of America",3995,"3995"
"3996",3,22,1,1,1,5,"US",2,5,3,2,4,4,3,2,3,3,5,5,2,2,3,4,2,3,4,2,4,3,3,4,4,4,4,2,4,4,4,4,4,5,3,4,5,4,4,5,4,5,5,4,4,5,5,4,4,4,"ENG","United States of America",3996,"3996"
"3997",13,18,2,2,1,2,"US",4,3,4,3,3,4,4,4,5,2,1,2,1,3,4,3,4,4,4,3,5,5,3,4,3,4,4,3,4,4,4,3,5,3,3,4,4,3,4,3,2,4,1,4,4,5,4,2,4,4,"ENG","United States of America",3997,"3997"
"3998",3,38,1,2,1,1,"AU",1,2,1,2,3,5,1,1,1,2,3,5,4,5,4,4,4,5,5,5,3,2,5,3,1,4,2,4,4,3,4,3,4,5,2,3,3,4,3,4,5,5,5,5,5,5,5,5,5,5,"ENG","Australia",3998,"3998"
"3999",3,17,1,1,1,5,"US",1,3,2,2,3,2,1,2,2,1,1,4,1,1,5,4,4,4,5,1,2,2,1,2,2,2,3,3,2,1,2,2,4,2,1,3,2,1,2,2,5,5,5,4,4,4,3,4,4,4,"ENG","United States of America",3999,"3999"
"4000",8,53,2,1,1,1,"US",4,5,5,5,5,5,5,3,4,1,3,5,4,1,5,2,5,5,1,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,3,5,5,5,5,1,3,5,5,1,3,4,"ENG","United States of America",4000,"4000"
"4001",3,47,1,2,1,1,"US",4,4,4,4,5,4,5,4,4,4,4,2,2,3,4,4,2,3,3,4,3,3,2,3,3,2,3,3,2,3,4,3,4,2,3,3,4,4,3,4,4,4,4,4,4,5,4,4,3,5,"ENG","United States of America",4001,"4001"
"4002",4,46,1,2,2,5,"US",4,5,5,5,5,5,4,4,4,2,3,3,1,3,3,3,3,3,2,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,3,5,5,5,4,5,1,3,5,3,4,5,4,1,4,4,"ENG","United States of America",4002,"4002"
"4003",1,17,1,1,1,5,"US",1,1,2,1,1,4,1,1,1,1,5,5,1,1,4,5,5,2,5,1,5,4,5,5,4,5,4,4,5,3,4,4,2,4,1,1,5,2,1,2,4,5,2,5,3,1,5,4,5,3,"ENG","United States of America",4003,"4003"
"4004",3,20,1,2,1,1,"US",1,5,4,4,3,4,1,2,2,3,3,4,2,3,3,3,4,5,4,4,5,5,4,5,4,4,5,5,4,3,3,1,4,1,1,1,4,3,3,4,4,5,4,5,3,5,3,4,5,3,"ENG","United States of America",4004,"4004"
"4005",3,18,1,2,1,2,"CA",2,3,1,1,5,5,5,1,1,1,5,5,1,5,5,2,4,2,1,1,5,1,1,5,4,3,2,5,5,5,5,2,5,2,1,5,5,3,5,5,2,5,5,5,5,5,4,4,5,4,"ENG","Canada",4005,"4005"
"4006",1,20,1,1,1,3,"US",2,3,4,3,3,4,1,3,3,2,3,2,2,2,1,2,2,2,1,2,4,4,5,4,4,4,4,4,4,5,2,1,4,2,1,3,4,2,3,3,4,2,1,3,4,1,5,4,2,4,"ENG","United States of America",4006,"4006"
"4007",3,15,1,2,1,5,"US",2,2,3,1,1,3,1,1,2,1,1,2,2,2,1,1,1,2,2,2,4,5,3,4,5,4,5,5,3,4,2,2,3,1,2,1,5,2,3,4,3,2,4,5,3,3,3,4,5,4,"ENG","United States of America",4007,"4007"
"4008",1,18,1,1,3,5,"US",3,4,4,4,4,4,2,3,4,4,1,2,1,1,4,2,4,4,1,1,3,3,1,1,3,2,3,3,2,2,4,4,5,4,4,3,3,4,4,4,5,4,4,4,4,4,4,4,5,5,"ENG","United States of America",4008,"4008"
"4009",3,19,1,1,1,5,"AU",4,5,4,4,4,4,3,4,5,4,3,4,3,4,4,4,4,4,3,4,3,3,1,2,2,2,3,3,2,4,2,2,3,4,1,2,4,2,2,3,5,4,4,4,4,5,5,4,3,4,"ENG","Australia",4009,"4009"
"4010",3,15,1,2,1,1,"AU",2,4,1,3,2,3,2,2,1,1,1,1,1,5,1,1,4,3,1,1,4,4,3,2,3,1,2,5,2,2,2,4,5,2,1,1,3,2,3,2,5,3,5,3,2,5,2,5,5,3,"ENG","Australia",4010,"4010"
"4011",3,18,1,2,1,5,"US",2,3,3,2,4,5,2,2,3,1,1,3,1,2,3,2,4,4,2,3,5,5,4,5,5,4,4,4,5,4,4,2,4,3,2,2,3,3,4,4,4,5,5,5,4,5,4,3,5,4,"ENG","United States of America",4011,"4011"
"4012",3,17,1,1,1,5,"US",3,3,4,3,3,3,4,3,3,2,5,5,1,2,5,5,5,4,2,4,4,4,3,4,4,2,4,4,4,3,2,4,4,3,1,5,4,3,5,3,4,5,4,5,4,5,3,5,4,5,"ENG","United States of America",4012,"4012"
"4013",13,27,2,1,1,5,"US",5,4,5,5,5,5,5,4,5,4,5,5,4,4,4,2,4,3,2,4,5,4,4,5,4,5,4,4,5,5,3,4,2,4,1,2,3,3,3,5,3,5,5,5,5,5,5,2,3,5,"ENG","United States of America",4013,"4013"
"4014",3,31,1,1,1,1,"AU",2,4,3,2,4,4,1,2,3,1,4,2,1,2,2,3,4,4,3,3,4,4,3,4,4,5,2,3,3,3,2,2,1,2,2,1,3,2,1,2,4,5,5,5,3,5,2,4,5,5,"ENG","Australia",4014,"4014"
"4015",3,17,1,2,1,5,"US",3,2,3,3,2,3,3,3,4,4,2,3,1,1,5,2,3,3,2,1,4,3,4,5,4,5,4,4,5,3,3,5,4,4,1,4,3,2,4,2,4,5,5,4,2,5,4,4,5,4,"ENG","United States of America",4015,"4015"
"4016",13,43,1,1,2,1,"US",3,4,4,2,3,4,3,2,4,2,5,4,4,1,5,4,4,4,5,5,4,4,4,4,4,4,4,4,5,4,3,4,4,4,3,3,3,3,3,4,5,5,4,4,4,4,4,4,4,4,"ENG","United States of America",4016,"4016"
"4017",3,17,1,1,1,5,"CA",2,4,4,3,3,3,4,2,4,1,5,5,4,4,4,5,4,4,5,5,5,1,4,5,5,4,5,4,5,3,1,1,3,2,1,2,2,2,1,4,4,5,5,5,5,5,5,4,5,5,"ENG","Canada",4017,"4017"
"4018",11,14,1,2,2,5,"CA",2,3,3,1,4,3,1,1,1,1,1,3,1,2,5,3,3,5,4,4,5,4,5,5,5,5,4,5,5,2,3,3,3,3,1,2,3,3,4,3,4,4,5,4,2,5,3,3,4,3,"ENG","Canada",4018,"4018"
"4019",3,33,1,1,1,1,"US",2,3,1,3,2,3,1,4,4,1,2,4,4,2,5,5,5,5,4,4,2,2,3,2,1,1,1,2,5,2,2,1,4,3,1,1,3,2,2,4,5,5,5,5,5,5,5,2,5,5,"ENG","United States of America",4019,"4019"
"4020",3,16,1,2,1,5,"NZ",2,3,5,3,3,5,3,3,5,1,1,2,1,1,3,1,1,1,1,1,5,4,1,5,5,5,5,5,5,3,4,2,4,3,3,3,2,3,4,3,5,4,5,5,5,5,5,5,5,5,"ENG","New Zealand",4020,"4020"
